Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in ng/m³
Hessen;DEHE056;Frankfurt Mitte;städtisches Gebiet;Hintergrund;2,3
Hessen;DEHE054;Hanau Mitte;städtisches Gebiet;Hintergrund;2,4
Hessen;DEHE053;Frankfurt-Griesheim;städtisches Gebiet;Hintergrund;2,5
Hessen;DEHE052;Kleiner Feldberg;ländliches Gebiet;Hintergrund;1,2
Hessen;DEHE043;Riedstadt;ländlich stadtnah;Hintergrund;2,1
Hessen;DEHE042;Linden;ländliches Gebiet;Hintergrund;1,8
Hessen;DEHE022;Wiesbaden Süd;städtisches Gebiet;Hintergrund;3
Hessen;DEHE018;Raunheim;städtisches Gebiet;Hintergrund;2,3
Hessen;DEHE013;Kassel Mitte;städtisches Gebiet;Hintergrund;1,7
Hessen;DEHE008;Frankfurt Ost;städtisches Gebiet;Hintergrund;2,5
Hessen;DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;2,3
Hessen;DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;2
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;5,2
Baden-Württemberg;DEBW112;Gärtringen;vorstädtisches Gebiet;Hintergrund;1,7
Baden-Württemberg;DEBW046;Biberach;vorstädtisches Gebiet;Hintergrund;1,8
Baden-Württemberg;DEBW013;Stuttgart-Bad Cannstatt;städtisches Gebiet;Hintergrund;2,4
Berlin;DEBE034;Berlin Neukölln;städtisches Gebiet;Hintergrund;3,4
Nordrhein-Westfalen;DENW432;Stolberg Rathausstraße;städtisches Gebiet;Industrie;73
Nordrhein-Westfalen;DENW425;Stolberg Brauereistraße;städtisches Gebiet;Industrie;100
Saarland;DESL003;Dillingen City;städtisches Gebiet;Industrie;5,1
Rheinland-Pfalz;DERP047;Trier-Pfalzel;vorstädtisches Gebiet;Industrie;4,2
Rheinland-Pfalz;DERP044;Krautscheid / Seifen;ländliches Gebiet;Industrie;28
Rheinland-Pfalz;DERP043;Braubach;ländliches Gebiet;Industrie;110
Nordrhein-Westfalen;DENW375;Witten-Mitte;städtisches Gebiet;Industrie;4,6
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;19
Nordrhein-Westfalen;DENW254;Duisburg Bergstraße 48;städtisches Gebiet;Industrie;130
Nordrhein-Westfalen;DENW246;Lünen Viktoriastraße;städtisches Gebiet;Industrie;41
Nordrhein-Westfalen;DENW131;Duisburg Kiebitzmühlenstraße;städtisches Gebiet;Industrie;17
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;12
Niedersachsen;DENI070;Salzgitter-Drütte;ländliches Gebiet;Industrie;3
Niedersachsen;DENI069;Nordenham/Blexer Sande;vorstädtisches Gebiet;Industrie;53
Niedersachsen;DENI053;Südoldenburg;vorstädtisches Gebiet;Industrie;2,4
Hamburg;DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;32
Hessen;DEHE095;Wetzlar Im Köhlersgarten;vorstädtisches Gebiet;Industrie;7,8
Baden-Württemberg;DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;2,9
Sachsen-Anhalt;DEST092;Wittenberg/Dessauer Strasse;städtisches Gebiet;Verkehr;4,1
Sachsen;DESN077;Leipzig Lützner Str.;städtisches Gebiet;Verkehr;3,3
Sachsen;DESN061;Dresden-Nord;städtisches Gebiet;Verkehr;3,9
Sachsen;DESN025;Leipzig-Mitte;städtisches Gebiet;Verkehr;2,7
Sachsen;DESN020;Görlitz;städtisches Gebiet;Verkehr;5,1
Sachsen;DESN006;Borna;städtisches Gebiet;Verkehr;2,4
Schleswig-Holstein;DESH027;Kiel-Bahnhofstr. Verk.;städtisches Gebiet;Verkehr;1,7
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;3,4
Rheinland-Pfalz;DERP011;Mainz-Rheinallee;städtisches Gebiet;Verkehr;2,8
Nordrhein-Westfalen;DENW212;Köln Turiner Straße;städtisches Gebiet;Verkehr;2,8
Nordrhein-Westfalen;DENW207;Aachen Wilhelmstraße;städtisches Gebiet;Verkehr;3,5
Nordrhein-Westfalen;DENW112;Duisburg Kardinal-Galen-Straße;städtisches Gebiet;Verkehr;8,4
Nordrhein-Westfalen;DENW082;Düsseldorf Corneliusstraße;städtisches Gebiet;Verkehr;3,1
Niedersachsen;DENI143;Oldenburg Heiligengeistwall;städtisches Gebiet;Verkehr;2,3
Niedersachsen;DENI071;Barbis-Verkehr;vorstädtisches Gebiet;Verkehr;3
Niedersachsen;DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;2,3
Niedersachsen;DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;3,1
Niedersachsen;DENI066;Hildesheim Verkehr;städtisches Gebiet;Verkehr;2,2
Niedersachsen;DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;2,6
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;1,8
Mecklenburg-Vorpommern;DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;2,7
Hessen;DEHE037;Wiesbaden Ringkirche;städtisches Gebiet;Verkehr;2,4
Bayern;DEBY120;Nürnberg/Von-der-Tann-Straße;städtisches Gebiet;Verkehr;2,9
Bayern;DEBY119;Würzburg/Stadtring Süd;städtisches Gebiet;Verkehr;2,2
Bayern;DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;1,8
Bayern;DEBY006;Augsburg/Königsplatz;städtisches Gebiet;Verkehr;1,9
Baden-Württemberg;DEBW147;Reutlingen Lederstraße-Ost;städtisches Gebiet;Verkehr;1,8
Baden-Württemberg;DEBW122;Freiburg Schwarzwaldstraße;städtisches Gebiet;Verkehr;1,9
Baden-Württemberg;DEBW118;Stuttgart Am Neckartor;städtisches Gebiet;Verkehr;2
Berlin;DEBE065;Berlin Frankfurter Allee;städtisches Gebiet;Verkehr;3,1
Brandenburg;DEBB060;Eberswalde, Breite Straße;städtisches Gebiet;Verkehr;3,9
Brandenburg;DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;3,9
